date,title,unit,summary,tags
2025-09-02,Propiedad: chown/chgrp,Unidad 5,Asignación de propiedad; reflexión sobre trabajo multiusuario.,usuarios|permisos
2025-09-05,Depuración de casos con errores,Unidad 5,Lectura de mensajes del sistema; seguridad y responsabilidades.,usuarios|depuración
2025-09-09,Integración por departamentos (estructura+permisos),Unidad 5,Diseño colaborativo y roles.,usuarios|proyecto
2025-09-12,Root y privilegios con sudo,Unidad 5,Riesgos/precauciones; ética de privilegios.,usuarios|root|sudo
2025-09-16,Evaluación práctica (usuarios y permisos),Unidad 5,Administración completa + README con pasos.,usuarios|evaluación
2025-09-19,Devolución y repaso gamificado,Unidad 5,Juego de comandos; corrección de errores comunes.,usuarios|devolución
2025-09-23,Vacaciones de septiembre,Calendario,Sin dictado.,no-clase|vacaciones
2025-09-26,Cierre Unidad 5 (coevaluación),Unidad 5,"Rúbrica, reflexión y mini presentaciones.",usuarios|cierre
2025-09-30,Inicio Unidad 6: shebang + permisos de ejecución,Unidad 6,#!/bin/bash; chmod +x; echo; automatización vs ejecución manual.,scripting|inicio
2025-10-03,Variables y read,Unidad 6,Entrada por teclado; mensajes personalizados; comentarios.,scripting|variables
2025-10-07,Condicionales básicas (if/elif/else),Unidad 6,Comparadores -eq -lt -gt -le -ge =; ejercicios de clasificación.,scripting|condicionales
2025-10-10,Operadores lógicos (&& || !),Unidad 6,Condiciones compuestas; depuración con echo.,scripting|lógicos
2025-10-14,Repaso condicionales,Unidad 6,Corrección de scripts; flujo lógico; autoevaluación.,scripting|repaso
